G6PD Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
202G>A_376A>G_1264C>G/Chinese-5,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Cincinnati,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Cleveland Corum,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Clinic,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Covao do Lobo,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Durham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Figuera da Foz,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Fukaya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Georgia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Guadalajara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Harilaou,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Harima,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Hartford,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Honiara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Iowa, Walter Reed, Springfield",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Iwatsuki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Japan, Shinagawa",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Kawasaki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Kozukata,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Krakow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/La Jolla,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Lille,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Loma Linda,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Lynwood,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Madrid,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Manhattan,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Montalbano,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Montpellier,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Mt Sinai,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Munich,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Murcia Oristano,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Musashino,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Namouru,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Nankang,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Nanning,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Naone,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Nara,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Nashville, Anaheim, Portici",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Neapolis,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Nice,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Nilgiri,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/No name,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/North Dallas,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Olomouc,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Omiya,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Orissa,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Osaka,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Palestrina,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Papua,,G6PD Indeterminate,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Partenope,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Pawnee,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Pedoplis-Ckaro,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Piotrkow,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Plymouth,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Praha,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Puerto Limon,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Quing Yan,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Radlowo,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Rehevot,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Rignano,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Riley,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Riverside,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Roubaix,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/S. Antioco,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Salerno Pyrgos,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Santa Maria,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Santiago,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Santiago de Cuba, Morioka",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sao Borja,,G6PD Variable,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Seattle, Lodi, Modena, Ferrara II, Athens-like",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Seoul,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Serres,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Shenzen,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Shinshu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sibari,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sierra Leone,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sinnai,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Songklanagarind,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Split,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Stonybrook,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sugao,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sumare,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Sunderland,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Surabaya,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Suwalki,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Swansea,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Taipei, Chinese-3",,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Telti, Kobe",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Tenri,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Tokyo, Fukushima",,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Toledo,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Tomah,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Tondela,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Torun,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Tsukui,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Ube Konan,,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Union,Maewo, Chinese-2, Kalo",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Urayasu,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Utrecht,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Valladolid,,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Vancouver,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Vanua Lava,,G6PD Deficient,Abnormal/Priority/High Risk
"202G>A_376A>G_1264C>G/Viangchan, Jammu",,G6PD Deficient,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Villeurbanne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Volendam,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Wayne,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/West Virginia,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Wexham,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Wisconsin,,G6PD Deficient with CNSHA,Abnormal/Priority/High Risk
202G>A_376A>G_1264C>G/Yunan,,G6PD Indeterminate,Abnormal/Priority/High Risk
A,,G6PD Normal,Normal Risk
A- 202A_376G,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/A- 202A_376G,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/A- 680T_376G,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/A- 968C_376G,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Aachen,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Abeno,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Acrokorinthos,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Alhambra,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Amazonia,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Amiens,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Amsterdam,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Anadia,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Ananindeua,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Andalus,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Arakawa,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Asahi,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Asahikawa,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Aures,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Aveiro,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/B (reference),,G6PD Variable,Abnormal/Priority/High Risk
A- 202A_376G/Bajo Maumere,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Bangkok,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Bangkok Noi,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Bao Loc,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Bari,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Belem,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Beverly Hills, Genova, Iwate, Niigata, Yamaguchi",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Brighton,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Buenos Aires,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Cairo,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Calvo Mackenna,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Campinas,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Canton, Taiwan-Hakka, Gifu-like, Agrigento-like",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Cassano,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Chatham,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Chikugo,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Chinese-1,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Chinese-5,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Cincinnati,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Cleveland Corum,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Clinic,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Coimbra Shunde,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Cosenza,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Costanzo,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Covao do Lobo,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Crispim,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Dagua,,G6PD Indeterminate,Abnormal/Priority/High Risk
A- 202A_376G/Durham,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Farroupilha,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Figuera da Foz,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Flores,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Fukaya,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Fushan,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Gaohe,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Georgia,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Gidra,,G6PD Indeterminate,Abnormal/Priority/High Risk
A- 202A_376G/Gond,,G6PD Indeterminate,Abnormal/Priority/High Risk
A- 202A_376G/Guadalajara,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Guangzhou,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Haikou,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Hammersmith,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Harilaou,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Harima,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Hartford,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Hechi,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Hermoupolis,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Honiara,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Ierapetra,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Ilesha,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Insuli,,G6PD Variable,Abnormal/Priority/High Risk
"A- 202A_376G/Iowa, Walter Reed, Springfield",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Iwatsuki,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Japan, Shinagawa",,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Kaiping, Anant, Dhon, Sapporo-like, Wosera",,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Kalyan-Kerala, Jamnaga, Rohini",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Kambos,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Kamiube, Keelung",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Kamogawa,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Kawasaki,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Kozukata,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Krakow,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Lages,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Lagosanto,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Laibin,,G6PD Indeterminate,Abnormal/Priority/High Risk
A- 202A_376G/La Jolla,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Lille,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Liuzhou,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Loma Linda,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Ludhiana,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Lynwood,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Madrid,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Mahidol,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Malaga,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Manhattan,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Mediterranean, Dallas, Panama, Sassari, Cagliari, Birmingham",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Mediterranean Haplotype,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Metaponto,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Mexico City,,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Miaoli,,G6PD Deficient,Abnormal/Priority/High Risk
"A- 202A_376G/Minnesota, Marion, Gastonia, LeJeune",,G6PD Deficient,Abnormal/Priority/High Risk
A- 202A_376G/Mira d'Aire,,G6PD Variable,Abnormal/Priority/High Risk
A- 202A_376G/Mizushima,,G6PD Deficient,Abnormal/Priority/High Risk
